CONTACT_ID,CALL_TEXT,CALL_SUMMARY,TOPIC,CATEGORY,SUB_CATEGORY,AGENT_COACHING,AGENT_SPEECH_SPEED,CUSTOMER_SPEECH_SPEED,TOTAL_TALKTIME_AGENT_SECOND,TOTAL_TALKTIME_CUSTOMER_SECOND,TOTAL_TALKTIME_CALL_SECOND,TOTAL_DURATION_CALL_SECOND,TOTAL_DEAD_AIR_CALL_SECOND,CALL_LANGUAGE,CALL_S3_URI,AC_LAST_MODIFIED_DATE
cf6c558b-b662-41df-9bb7-40e6021600ee,"Yeah, Jack. Hello, we are not available now. Please call again. Thank you for your call. Memory full","The call was unanswered due to a full voicemail box.  The caller, Jack, reached a voicemail that indicated the agent was unavailable. The system message indicated the voicemail was full.",Unanswered Call - Voicemail Full,Unsuccessful Contact,Memory full,"strengths:
  - 
  - 
  - 
improvement_areas:
  - Voicemail monitoring and management
  - Proactive voicemail box management to avoid full messages
  - Implement a system for timely voicemail retrieval
specific_recommendations:
  - Regularly check and delete old voicemails
  - Set up voicemail notifications
  - Increase voicemail box capacity if necessary
  - Implement a process for returning calls promptly
skill_development_focus:
  - Time Management
  - Prioritization
  - Customer Communication",194,132,0,7,7,12,5,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/cf6c558b-b662-41df-9bb7-40e6021600ee_20250407T22:56_UTC.wav,2025-04-07 22:56:01
58b60fd8-3994-44c1-8d01-7682c86495a0,"Your call has been forwarded to an automatic voice message system. Chan. is not available at the tone, please record your message. When you have finished recording you may hang up or press one for more options.","The call was answered by an automated voicemail system. The intended recipient, Chan, was unavailable.  The caller was given options to leave a message or access additional options.",Unsuccessful contact attempt,Unsuccessful Contact,Left VM,"strengths:
improvement_areas:
specific_recommendations:
skill_development_focus:",0,160,0,13,13,14,1,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/58b60fd8-3994-44c1-8d01-7682c86495a0_20250407T22:54_UTC.wav,2025-04-07 22:54:19
e936dacb-7470-4aca-a330-d51efe4bdda7,Hello? Closeo carcase. Hello.,The call was brief and unclear. The agent's greeting was unintelligible.  The customer's response was also unclear.  The call likely ended without a resolution or understanding.,Unsuccessful Call,Unsuccessful Contact,Agent Only,"strengths:
  - 
  - 
  - 
improvement_areas:
  - Improve greeting clarity and enunciation.
  - Develop techniques for handling unclear or unintelligible responses.
  - Implement strategies to verify customer understanding and obtain clear communication.
specific_recommendations:
  - Practice clear and concise greetings with a focus on pronunciation.
  - Implement active listening and clarification techniques during calls.
  - Use open-ended questions to prompt clearer responses from the customer.
  - If unable to understand, politely ask the customer to repeat their request clearly.
skill_development_focus:
  - Communication Skills
  - Active Listening
  - Call Handling Techniques",53,72,2,1,3,5,2,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/e936dacb-7470-4aca-a330-d51efe4bdda7_20250407T22:38_UTC.wav,2025-04-07 22:38:06
c86ad7f6-73e9-40f7-95f6-ddcb22b110c6,"Call has been forwarded to an automated voice messaging system. 202-758-9684 is not available. At the tone, please record your message. When you've finished recording you may hang up or press one for more options.",The call was directed to voicemail. The number 202-758-9684 was unavailable.  A message could be recorded.  No conversation took place.,Unsuccessful Contact,Unsuccessful Contact,Disconnected Number,"strengths:
improvement_areas:
specific_recommendations:
skill_development_focus:",0,113,0,18,18,20,2,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/c86ad7f6-73e9-40f7-95f6-ddcb22b110c6_20250407T22:36_UTC.wav,2025-04-07 22:36:25
593a963b-ac8e-471d-adb5-be38634c0de2,Your call has been forwarded to an automated voice messaging system. 202-553-9153 is not available. The mailbox is full and cannot accept any messages at this time. Goodbye.,The call was forwarded to voicemail. The voicemail box was full and unable to accept messages.  The call was unsuccessful.,Unsuccessful Call Attempt,Unsuccessful Contact,Mailbox Full,"strengths:
  - 
  - 
  - 
improvement_areas:
  - 
  - 
  - 
specific_recommendations:
  - Monitor voicemail box regularly to prevent full mailbox issues.
  - Consider implementing a system to notify when voicemail is full.
  - Explore alternative contact methods for customers with full voicemails.
  - Implement a system for handling full voicemail boxes that includes automatic notification or forwarding.
skill_development_focus:
  - 
  - 
  -",0,108,0,15,15,17,2,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/593a963b-ac8e-471d-adb5-be38634c0de2_20250407T22:34_UTC.wav,2025-04-07 22:34:59
17228774-5087-443d-bf13-5503d010d7e9,"I'm sorry, but the person you called has a voicemail box that has not been set up yet. Goodbye.",The call was unsuccessful. The recipient's voicemail box was not set up.  The caller received a voicemail message indicating this.,Unsuccessful Call Attempt,Unsuccessful Contact,Did not leave VM,"strengths:
  - N/A
  - N/A
  - N/A
improvement_areas:
  - N/A
  - N/A
  - N/A
specific_recommendations:
  - N/A
  - N/A
  - N/A
  - N/A
skill_development_focus:
  - N/A
  - N/A
  - N/A",0,187,0,6,6,7,1,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/17228774-5087-443d-bf13-5503d010d7e9_20250407T22:33_UTC.wav,2025-04-07 22:33:37
496f45e3-02ef-4043-9ce8-7bec1c49251e,"Hello. Hi, this is Alvario from Position in Sola on a recording line. Can I speak with","The call was an unsuccessful attempt to contact a customer.  The caller, Alvario, identified himself and attempted to reach the customer. The transcript is incomplete and does not indicate if a voicemail was left or the reason for the unsuccessful contact.",Unsuccessful Customer Contact,Unsuccessful Contact,Did not leave VM,"strengths:
  - Clear identification
  - 
  - 
improvement_areas:
  - Call completion
  - Reason for call failure documentation
  - Call outcome recording
specific_recommendations:
  - Complete the call and document the reason for failure
  - Note if voicemail was left or attempted
  - Improve call notes to reflect the reason for the unsuccessful contact
  - Implement a system for tracking call outcomes
skill_development_focus:
  - Call handling
  - Communication skills
  - Record keeping",184,188,5,0,5,6,1,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/496f45e3-02ef-4043-9ce8-7bec1c49251e_20250407T22:31_UTC.wav,2025-04-07 22:31:46
9d25c685-c5ca-4f63-afcd-c95f93b1bb83,"Your call has been forwarded to voicemail. The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording you may hang up. Good afternoon. This is Mary calling on behalf of Pathogen and partnership. With EMT Solar I am calling to speak with Christina. When you have time, can you please just give me a call back at 1-88893-[ADDRESS_REDACTED]. Thank you.","The caller, Mary from Pathogen and Partnership, reached a voicemail.  She requested a callback from Christina regarding EMT Solar.  She left a message with her phone number.",Voicemail Message - Callback Request,Unsuccessful Contact,Left VM,"strengths:
improvement_areas:
specific_recommendations:
skill_development_focus:",112,206,20,9,30,32,2,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/9d25c685-c5ca-4f63-afcd-c95f93b1bb83_20250407T22:30_UTC.wav,2025-04-07 22:30:56
77240c4c-37dd-4424-88cc-fadbdac527dd,Your call has been forwarded to an automated voice messaging system. 3109629154 is not available. The mailbox is full and cannot accept any messages at this time. Goodbye.,The call was directed to a voicemail system. The voicemail box for the number 3109629154 was full and unable to accept any messages.,Unsuccessful Contact,Unsuccessful Contact,Mailbox Full,"strengths:
  - 
  - 
  - 
improvement_areas:
  - 
  - 
  - 
specific_recommendations:
  - 
  - 
  - 
  - 
skill_development_focus:
  - 
  - 
  -",0,106,0,15,15,17,2,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/77240c4c-37dd-4424-88cc-fadbdac527dd_20250407T22:30_UTC.wav,2025-04-07 22:30:23
a30cd39f-a46d-4be2-a871-a3d360d8386d,A call has been forwarded to an automated voice messaging system. 203-627-3225 is not available. The mailbox is full and cannot accept any messages at this time. Goodbye.,An automated voicemail system was reached. The number 203-627-3225 was unavailable. The mailbox was full and unable to accept messages.,Unsuccessful Contact Attempt,Unsuccessful Contact,Mailbox Full,"strengths:
  - 
  - 
  - 
improvement_areas:
  - 
  - 
  - 
specific_recommendations:
  - 
  - 
  - 
  - 
skill_development_focus:
  - 
  - 
  -",0,103,0,16,16,18,2,en-US,s3://amazon-connect-39f6aa5d9242/connect/posigen-prod-ac/CallRecordings/2025/04/07/a30cd39f-a46d-4be2-a871-a3d360d8386d_20250407T22:28_UTC.wav,2025-04-07 22:28:50
