CONTACT_ID,SPEAKER_TAG,CAPTION,CALL_LANGUAGE,NEGATIVE,NEUTRAL,POSITIVE,SENTIMENT_LABLE,START_TIME_SECOND,END_TIME_SECOND,TIME_SPOKEN_SECOND,TIME_SILENCE_SECOND,LOAD_DATE
e630c206-987c-47c2-8b23-2329d0b13ec6,CUSTOMER,Call has been forwarded to an automated voice messaging system.,en-US,2.39,89.15,8.46,Neutral,0,3,3,1,2025-03-10 05:46:49.600102
e630c206-987c-47c2-8b23-2329d0b13ec6,CUSTOMER,***-***-**** is not available.,en-US,63.32,35.26,1.42,Negative,4,12,8,1,2025-03-10 05:46:49.600102
e630c206-987c-47c2-8b23-2329d0b13ec6,CUSTOMER,"At the tone, please record your message. When you've finished recording you may hang up or press one for more options.",en-US,1.37,90.28,8.35,Neutral,13,20,7,1,2025-03-10 05:46:49.600102
e630c206-987c-47c2-8b23-2329d0b13ec6,AGENT,"Hello, this is Celeste with Positgen Solar. Can you please give me a call back at *-***-***-****? It's in regards to the portal access that you were trying to get the last time we had you on the phone. Thank you so much and have a great day.",en-US,0.72,30.33,68.95,Positive,21,34,13,0,2025-03-10 05:46:49.600102
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,Hello.,en-US,2.23,42.53,55.25,Positive,0,0,0,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"Hi, good afternoon. This is Celeste with Positgen Solar. Is, uh, am I speaking with Athenia Adams?",en-US,0.6,78.09,21.31,Neutral,1,8,7,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,Yes.,en-US,7.42,58.11,34.46,Neutral,9,10,1,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"Hi, um, I did receive an email intake, uh, form from you. I just wanna make sure that I'm speaking to the correct person. Could you verify the address that you were inquiring about for the solar panels?",en-US,2.87,87.73,9.41,Neutral,10,25,15,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,*** is that your lane?,en-US,9.25,83.96,6.79,Neutral,26,28,2,2,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"And you said [REDACTED], and what's the city, state and zip code?",en-US,7.21,90.5,2.29,Neutral,30,34,4,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,"Leville, Mississippi **,***.",en-US,2.33,90.67,7.0,Neutral,35,37,2,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,Thank you and what about your email address?,en-US,0.66,38.25,61.09,Positive,37,40,3,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,in ia **@gmail.com.,en-US,2.54,87.18,10.28,Neutral,41,44,3,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,Got it and uh your phone number?,en-US,1.78,93.1,5.12,Neutral,44,47,3,3,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,***-***-****,en-US,17.5,70.67,11.82,Neutral,50,53,3,0,2025-03-10 05:46:54.789757
